class,text,cleaned_txt,polarity,Sentiment
1,"I loved reading Da Vinci Code, can't wait for the movie to come out!..",love read vinci code wait movi come,0.5,positive
1,I love the Da Vinci Code.,love vinci code,0.5,positive
1,The Da Vinci Code really is an awesome book and you should all go get it.,vinci code realli awesom book should,0.0,positive
1,"I loved The Da Vinci Code, and I thought Angels & Demons was pretty good right up until the end where he kind of lost it a bit.",love vinci code thought angel demon pretti good right until where kind lost,0.5214285714285715,positive
1,i totally love the Da Vinci Code and i CA N'T wait until the movie!,total love vinci code wait until movi,0.25,positive
1,"Personally I loved The Da Vinci Code, its a great thriller.",person love vinci code great thriller,0.65,positive
1,I love the Da Vinci Code.....,love vinci code,0.5,positive
1,' The Da Vinci Code'it was AWESOME.,vinci code awesom,0.0,positive
1,and the da vinci code is an awesome book!,vinci code awesom book,0.0,positive
1,da vinci code is an awesome book..,vinci code awesom book,0.0,positive
1,The Da Vinci Code is AWESOME!.,vinci code awesom,0.0,positive
1,I loved the da vinci code.,love vinci code,0.5,positive
1,I loved the da Vinci Code-very interesting to think about things from a different angle.,love vinci code veri interest think about thing from differ angl,0.5,positive
1,Da Vinci Code is a friggin awesome book.,vinci code friggin awesom book,0.0,positive
1,"And the Da Vinci code is AMAZING, 30 pages left to go.",vinci code amaz page left,0.0,positive
1,+ love undercover 3 + The Da Vinci Code....,love undercov vinci code,0.5,positive
1,outta all three i just loved the da vinci code.,outta three just love vinci code,0.5,positive
1,oh I love the book The Da VInci Code!,love book vinci code,0.5,positive
1,"besides drowining myself in the Da Vinci Code -- which, by the way, was awesome!).",besid drowin myself vinci code which awesom,0.0,positive
1,da vinci code is so awesome.,vinci code awesom,0.0,positive
1,and Da Vinci Code was so awesome already).,vinci code awesom alreadi,0.0,positive
1,The Da Vinci Code was AWESOME.,vinci code awesom,0.0,positive
1,"So, the Da Vinci code was AWESOME...",vinci code awesom,0.0,positive
1,I loved the Da Vinci Code.,love vinci code,0.5,positive
1,"Well the Da Vinci Code, was Awesome!",well vinci code awesom,0.0,positive
1,i really loved the da vinci code.,realli love vinci code,0.5,positive
1,The book da vinci code is awesome.,book vinci code awesom,0.0,positive
1,"i saw the da vinci code, which was awesome.",vinci code which awesom,0.0,positive
1,And I love the Da Vinci Code(,love vinci code,0.5,positive
1,i know i loved the da vinci code too!!!,know love vinci code,0.5,positive
1,Da Vinci code was awesome!!!,vinci code awesom,0.0,positive
1,"lynn and jon at the theaters for da vinci code-other than that, EVERYONE AT THE LUAU, it was awesome..",lynn theater vinci code other than that everyon luau awesom,-0.125,negative
1,The Da Vinci Code was an awesome movie.,vinci code awesom movi,0.0,positive
1,"also, the da vinci code is AWESOME.",also vinci code awesom,0.0,positive
1,* gasp * I LOVE the Da Vinci Code!!,gasp love vinci code,0.5,positive
1,"As for movies, The Da Vinci Code was awesome and all of the protests against it make me sad to know that so many people who share my religion are idiots...",movi vinci code awesom protest against make know that mani peopl share religion idiot,-0.8,negative
1,The Da Vinci Code is like one of the AWESOMEST books!!!,vinci code like awesomest book,0.0,positive
1,"As sad as it may be that I am now dating my sister, I enjoyed our time together and absolutely loved The Da Vinci Code.",that date sister enjoy time togeth absolut love vinci code,0.45,positive
1,just because the da vinci code is awesome doesn't mean jesus can't be the most admired bachelor!.,just becaus vinci code awesom doesn mean jesu most admir bachelor,0.09375,positive
1,DA VINCI CODE WAS AWESOME!!!!!..,vinci code awesom,0.0,positive
1,Da Vinci Code is an awesome movie.,vinci code awesom movi,0.0,positive
1,The Da Vinci Code was AWESOME.,vinci code awesom,0.0,positive
1,Da vinci Code is one beautiful movie..,vinci code beauti movi,0.0,positive
1,I love Da Vinci Code.,love vinci code,0.5,positive
1,"Beyond the Da Vinci Code is a beautiful tome -- unauthorized, of course -- that deals with the novel and what inspired it.",beyond vinci code beauti tome unauthor cours that deal with novel what inspir,0.0,positive
1,I actually loved Da Vinci Code.,actual love vinci code,0.25,positive
1,"I saw both Da Vinci Code and X-Men 3 The Last Stand on the day they came out, and the one that got me talking to most was X-Men, but Da Vinci Code was awesome too.",both vinci code last stand they came that talk most vinci code awesom,0.25,positive
1,i loved the da vinci code...,love vinci code,0.5,positive
1,"I agree with you, I loved Da Vinci Code, I just think it's ridiculous for people to get their panties in a bunch about the heresies and blashpemies and whatever the hell else it allegedly contains.",agre with love vinci code just think ridicul peopl their panti bunch about heresi blashpemi whatev hell els allegedli contain,0.5,positive
1,the da vinci code was awesome lah!,vinci code awesom,0.0,positive
1,Da Vinci Code was AWESOME..,vinci code awesom,0.0,positive
1,I'd love to watch The Da Vinci Code soon.,love watch vinci code soon,0.5,positive
1,"Its hard to decide on what move ti see when there are 2 good ones playing, I would love to see the Da Vinci Code but on the other hand Over The Hedge looks very funny...",hard decid what move when there good one play would love vinci code other hand over hedg look veri funni,0.1958333333333333,positive
1,"i read that book "" angels and demons "" and i got hooked so i finished in two days, just like da vinci code...",read that book angel demon hook finish day just like vinci code,0.0,positive
1,oh and i loved the da vinci code.,love vinci code,0.5,positive
1,"Back in Melbourne, Mom and I went to see Da Vinci Code, which was totally awesome, but they left things out!",back melbourn went vinci code which total awesom they left thing,0.0,positive
1,hahash i love da vinci code tooo!!,hahash love vinci code tooo,0.5,positive
1,The Da Vinci Code was awesome.,vinci code awesom,0.0,positive
1,"da vinci code was also awesome, but thats a given, tom hanks is in it after all.",vinci code also awesom that given hank after,0.0,positive
1,I loved The Da Vinci Code!!,love vinci code,0.5,positive
1,I loved The Da Vinci Code!,love vinci code,0.5,positive
1,i loved the da vinci code was a kick ass movie...,love vinci code kick movi,0.5,positive
1,"Then we went to the movies and saw The Da Vinci Code which honestly, was the most awesome movie I have ever seen.",then went movi vinci code which honestli most awesom movi have ever seen,0.5,positive
1,"i loved the da Vinci code, even though it was the second book in the series.",love vinci code even though second book seri,0.25,positive
1,The Da Vinci Code was awesome in my opinion -- the book and the movie.,vinci code awesom opinion book movi,0.0,positive
1,"I loved the Da Vinci Code, both the book and the movie.",love vinci code both book movi,0.5,positive
1,the da vinci code was sooo awesome-good luck at ur tennis tournament..,vinci code sooo awesom good luck tenni tournament,0.7,positive
1,The Da Vinci Code was AWESOME!!,vinci code awesom,0.0,positive
1,I love hating America almost as much as I love supporting the Da Vinci Code.,love hate america almost much love support vinci code,0.06666666666666665,positive
1,Da Vinci Code was awesome.,vinci code awesom,0.0,positive
1,i luv the book'da vinci code '....,book vinci code,0.0,positive
1,da vinci code was awesome..,vinci code awesom,0.0,positive
1,Da Vinci Code was awesome.,vinci code awesom,0.0,positive
1,i loved the da vinci code.,love vinci code,0.5,positive
1,"Well, Da Vinci Code was awesome....",well vinci code awesom,0.0,positive
1,The Da Vinci Code was awesome..,vinci code awesom,0.0,positive
1,"The Da Vinci Code is an awesome book, I just finshed reading it.",vinci code awesom book just finsh read,0.0,positive
1,"The Da Vinci Code was so awesome, I cannot even begin to comprehend nor explain the awesomeness of its hardcore, awesome power of awesomeness.....",vinci code awesom cannot even begin comprehend explain awesom hardcor awesom power awesom,0.0,positive
1,PS da Vinci code is an awesome movie!.,vinci code awesom movi,0.0,positive
1,i just love Da Vinci Code so much!,just love vinci code much,0.35,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome!!,vinci code awesom,0.0,positive
1,Love luv lubb the Da Vinci Code!,love lubb vinci code,0.5,positive
1,the people who are worth it know how much i love the da vinci code.,peopl worth know much love vinci code,0.4,positive
1,I wanted desperately to love'The Da Vinci Code as a film.,want desper love vinci code film,0.5,positive
1,"The Da Vinci Code was awesome, I can't wait to read it...",vinci code awesom wait read,0.0,positive
1,The Da Vinci Code was absolutely AWESOME!,vinci code absolut awesom,0.0,positive
1,da vinci code was an awesome movie...,vinci code awesom movi,0.0,positive
1,DA VINCI CODE IS AWESOME!!,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
